gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000141854,0.10077519379845,0.682170542635659,0.217054263565892,69.44,8.24,0.952785128107835,0.00730532518441907,0.0291356135233106,0.968257647609046
ENSG00000166963,0.263565891472868,0.682170542635659,0.0542635658914729,69.61,24.08,0.792509303849266,0.00730532518441907,0.028551802946218,0.890444893244583
ENSG00000184281,0.217054263565891,0.682170542635659,0.10077519379845,64.51,21.53,0.85545219620235,0.00730532518441907,0.0508605666265293,0.908210612277378
ENSG00000185019,0.224806201550388,0.682170542635659,0.0930232558139535,47.29,17.91,0.845965656852971,0.00730532518441907,0.230077532323591,0.929635473983447
ENSG00000099330,0.27906976744186,0.674418604651163,0.0465116279069767,72.56,18.67,0.768376049019838,0.00843794238569784,0.0198743396460139,0.925490295138822
ENSG00000099992,0.155038759689923,0.674418604651163,0.170542635658915,62.14,19.68,0.917234309548738,0.00843794238569784,0.0651427007883242,0.919696351699268
ENSG00000131188,0.193798449612403,0.674418604651163,0.131782945736434,102.57,15.76,0.88151259890552,0.00843794238569784,0.000146569692548781,0.940403516815847
ENSG00000131408,0.248062015503876,0.674418604651163,0.0775193798449613,67.87,19.05,0.815089433846208,0.00843794238569784,0.0350100346760096,0.923349017085528
ENSG00000152804,0.302325581395349,0.674418604651163,0.0232558139534884,66.17,37.49,0.729411729699908,0.00843794238569784,0.042432455995202,0.757468717842808
ENSG00000160999,0.248062015503876,0.674418604651163,0.0775193798449613,88.42,26.33,0.815089433846208,0.00843794238569784,0.00196700211188217,0.872825923723332
ENSG00000165698,0.224806201550388,0.674418604651163,0.10077519379845,90.99,19.52,0.845965656852971,0.00843794238569784,0.0012746648446228,0.920636242271534
ENSG00000168306,0.255813953488372,0.674418604651163,0.0697674418604651,85.48,42.31,0.803996589128952,0.00843794238569784,0.00316582364411022,0.694072360421685
ENSG00000172889,0.209302325581395,0.674418604651163,0.116279069767442,74.43,28.8,0.864536982691758,0.00843794238569784,0.015625324267047,0.851317065443493
ENSG00000176533,0.248062015503876,0.674418604651163,0.0775193798449613,58.33,39.95,0.815089433846208,0.00843794238569784,0.0943732093895387,0.726022167132409
ENSG00000177283,0.209302325581395,0.674418604651163,0.116279069767442,70.21,33.91,0.864536982691758,0.00843794238569784,0.0265685378555386,0.799508074316112
ENSG00000180425,0.255813953488372,0.674418604651163,0.0697674418604651,80.63,23.18,0.803996589128952,0.00843794238569784,0.00662127271824575,0.896977554633543
ENSG00000185813,0.232558139534884,0.674418604651163,0.0930232558139535,75.18,14.26,0.83607609213002,0.00843794238569784,0.0141545244899504,0.947118464494765
ENSG00000198598,0.224806201550388,0.674418604651163,0.10077519379845,61.46,27.63,0.845965656852971,0.00843794238569784,0.0697685122955445,0.861791324224074
