gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000010404,0.262773722627737,0.605839416058394,0.131386861313869,118.96,37.98,0.759680726402981,0.0368565958645071,0.117977156139879,0.841336923108374
ENSG00000072518,0.291970802919708,0.605839416058394,0.102189781021898,96.75,34.59,0.694129110413928,0.0368565958645071,0.283218917643741,0.860458312796131
ENSG00000099992,0.251824817518248,0.605839416058394,0.142335766423358,127.87,33.59,0.782130469604464,0.0368565958645071,0.0762699172532563,0.865786313520741
ENSG00000102003,0.233576642335766,0.605839416058394,0.160583941605839,153.93,46.61,0.816727252964411,0.0368565958645071,0.0158356854169467,0.785284818572358
ENSG00000105289,0.259124087591241,0.605839416058394,0.135036496350365,156.24,47.8,0.767300875815713,0.0368565958645071,0.0134774230280654,0.776742277957528
ENSG00000105520,0.317518248175182,0.605839416058394,0.0766423357664233,109.94,44.2,0.631041288881662,0.0368565958645071,0.174463799629194,0.801991309170611
ENSG00000110046,0.317518248175182,0.605839416058394,0.0766423357664233,103.1,45.54,0.631041288881662,0.0368565958645071,0.227157981944716,0.792801171394698
ENSG00000112367,0.31021897810219,0.605839416058394,0.083941605839416,95.85,45.62,0.649523479647857,0.0368565958645071,0.291670261238671,0.792244641238384
ENSG00000138629,0.248175182481752,0.605839416058394,0.145985401459854,101.1,32.91,0.789336015966265,0.0368565958645071,0.244110252376989,0.869328525963099
ENSG00000158109,0.306569343065693,0.605839416058394,0.0875912408759123,146.56,57.47,0.658636660852178,0.0368565958645071,0.0258573701086869,0.700609112010267
ENSG00000163516,0.233576642335766,0.605839416058394,0.160583941605839,96.14,40.01,0.816727252964411,0.0368565958645071,0.288934239526012,0.829100597374922
ENSG00000197562,0.226277372262774,0.605839416058394,0.167883211678832,96.86,35.34,0.829549083060927,0.0368565958645071,0.282194086172682,0.856369119350764
ENSG00000204371,0.321167883211679,0.605839416058394,0.0729927007299269,101.87,47.89,0.621682104937916,0.0368565958645071,0.237504057352092,0.776088428857298
ENSG00000229809,0.328467153284672,0.605839416058394,0.0656934306569343,107.68,51.87,0.602753154398686,0.0368565958645071,0.190947067291877,0.746108205922023
ENSG00000004660,0.233576642335766,0.602189781021898,0.164233576642336,155.44,45.41,0.816727252964411,0.0391285992469288,0.0142573248386314,0.793703649942397
ENSG00000131242,0.284671532846715,0.602189781021898,0.113138686131387,213.31,45.56,0.711239887281605,0.0391285992469288,7.70495112306646e-05,0.792662121581827
ENSG00000131899,0.251824817518248,0.602189781021898,0.145985401459854,91.19,39.69,0.782130469604464,0.0391285992469288,0.337193276722569,0.831068561802158
